delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,1.2000000000000008,6.365986585617065,"[219.63118419484172, 353.57370041181684]","[226.91195206936058, 364.2108021807364]","[182.01917258299213, 265.92753789374154]",False,True
0.01,1.2100000000000009,6.419949054718018,"[221.56210230399265, 356.13740625588906]","[229.28577537072596, 366.3922301644461]","[193.09181091509137, 256.3705844072215]",False,True
0.01,1.2200000000000009,6.473985195159912,"[223.54231201659826, 358.7151228354813]","[231.46315116042328, 369.02598993998384]","[198.02097126056063, 257.77165795922247]",False,True
0.01,1.2300000000000009,6.5270843505859375,"[225.62876133665083, 361.19531104610286]","[233.97455855046556, 371.1160649370377]","[208.6449320052574, 248.01882106215788]",False,True
0.01,1.2400000000000009,6.581036567687988,"[227.76253104163285, 363.68643687369973]","[236.2976094487181, 373.6509414510563]","[213.37697049820432, 249.11258275968933]",False,True
0.01,1.2500000000000009,6.634901285171509,"[229.9968492082441, 366.0782287196628]","[238.93412110299238, 375.645397581071]","[223.4318166611248, 239.17918459630482]",False,True
0.01,1.260000000000001,6.6880552768707275,"[232.27666877926677, 368.47717413653106]","[241.39594596149388, 378.0729574306148]","[227.9819571022665, 239.89454168682823]",False,True
0.01,1.270000000000001,6.741965293884277,"[234.65021394693454, 370.7750417557415]","[244.14439318940117, 379.96651398535244]","[237.35451676677818, 229.7867619210423]",False,True
0.01,1.280000000000001,6.796930551528931,"[237.06772930184175, 373.07578136301754]","[246.7377890142458, 382.2787415984991]","[241.75153549072232, 230.07396072760412]",False,True
0.01,1.290000000000001,6.850969314575195,"[239.57113096014422, 375.27373115445386]","[249.58473562887326, 384.0655321491914]","[250.34016583024624, 219.79497914363094]",False,True
0.01,1.300000000000001,6.905019521713257,"[242.11732505305343, 377.4700386486123]","[252.30209926627384, 386.2552704050115]","[254.61940929092117, 219.63074941584463]",False,True
0.01,1.310000000000001,6.958948612213135,"[244.7406989830111, 379.5619231917461]","[255.2341923860051, 387.9294630660612]","[262.3373929957662, 209.18845431338022]",False,True
0.01,1.320000000000001,7.012940406799316,"[247.40603742919555, 381.6477141708673]","[258.067388809086, 389.9908796526128]","[266.53384461844377, 208.5790979121223]",False,True
0.01,1.330000000000001,7.067089796066284,"[250.1391540140606, 383.6276586707397]","[261.07161794024285, 391.5474381249771]","[273.3116584865047, 197.99444998724485]",False,True
0.01,1.340000000000001,7.121108770370483,"[252.91369456704788, 385.59742291606227]","[264.0118544408719, 393.4764812254071]","[277.45405529872784, 196.9764245322551]",False,True
0.01,1.350000000000001,7.1750266551971436,"[255.7460992052597, 387.46033664159677]","[267.0757155423694, 394.9119927591531]","[283.24046382118144, 186.29137255344855]",False,True
0.01,1.360000000000001,7.229057312011719,"[258.61957190354497, 389.30962855193417]","[270.11346068504764, 396.70679729007435]","[287.34726982852425, 184.9291910337406]",False,True
0.01,1.370000000000001,7.28291130065918,"[261.54066550162577, 391.0517582108361]","[273.2250381421149, 398.02027785199016]","[292.10935980808284, 174.21296589019482]",False,True
0.01,1.380000000000001,7.337132215499878,"[264.50253623225007, 392.7777032699167]","[276.35001771636297, 399.6814844467661]","[296.1870730624308, 172.5945059080583]",False,True
0.01,1.390000000000001,7.392152547836304,"[267.5016310114706, 394.39717563337024]","[279.49800904029115, 400.87506601716467]","[299.90947792205003, 161.9472363453529]",False,True
0.01,1.400000000000001,7.446117639541626,"[270.5411648532266, 395.99894413957685]","[282.69929952597556, 402.40601913356323]","[303.9533841755979, 160.17685062066204]",False,True
0.01,1.410000000000001,7.498997926712036,"[273.6075346530297, 397.4962412131377]","[285.8730135882678, 403.48543059205764]","[306.63697998031364, 149.72970735608408]",False,True
0.01,1.420000000000001,7.553064823150635,"[276.7138754251229, 398.975438577209]","[289.1392387204947, 404.8922293080379]","[310.63407720932366, 147.91973640713056]",False,True
0.01,1.430000000000001,7.607046604156494,"[279.83681982165126, 400.35375064581405]","[292.32859813023276, 405.86700048989616]","[312.29443965283593, 137.83120686050654]",False,True
0.01,1.440000000000001,7.660959959030151,"[282.9990992674699, 401.71467720895043]","[295.6482183354719, 407.1583854335562]","[316.2279445818648, 136.0926563136393]",False,True
0.01,1.450000000000001,7.715026378631592,"[286.16803722570285, 402.9800875827503]","[298.84379096734756, 408.0417316029834]","[316.89379582329747, 126.54103737998363]",False,True
0.01,1.460000000000001,7.769989013671875,"[289.37552147968677, 404.22983014365445]","[302.20546108967426, 409.22880362405334]","[320.7484253983948, 124.97425609041854]",False,True
0.01,1.470000000000001,7.824015855789185,"[292.5801237738911, 405.3912995550905]","[305.39853631777714, 410.03718137503284]","[320.46022942043146, 116.14694114360306]",False,True
0.01,1.480000000000001,7.877951145172119,"[295.82239740610356, 406.53963084729673]","[308.7914961573347, 411.1329613707952]","[324.22736322124456, 114.83312922062477]",False,True
0.01,1.490000000000001,7.932056665420532,"[299.052758875829, 407.60876780431096]","[311.97420995241737, 411.88532251726167]","[323.0361469725434, 106.91369570142052]",False,True
0.01,1.500000000000001,7.98604941368103,"[302.31993906352125, 408.6678477471411]","[315.3886660922925, 412.9041763138485]","[326.7180187692269, 105.90799428301483]",False,True
0.01,1.5100000000000011,8.041044473648071,"[305.5667832908003, 409.6584717784975]","[318.55416771039984, 413.6209791600643]","[324.6844227279031, 99.06240313564416]",False,True
