delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.8500000000000005,5.152736186981201,"[257.8868274258837, 250.39308914569617]","[260.30316653160065, 252.99150356546576]","[241.63391057171162, 259.841441976994]",False,True
0.01,0.8600000000000005,5.212921142578125,"[260.28976155365325, 252.90381189133598]","[262.69269568142283, 255.41453463697582]","[240.29341277695156, 251.07227456398246]",False,True
0.01,0.8700000000000006,5.273195028305054,"[262.7079290419979, 255.5098309265552]","[265.1260965303424, 258.1158499617742]","[241.81674883446166, 260.6019035219227]",False,True
0.01,0.8800000000000006,5.333511114120483,"[265.0952361735553, 258.03469642874916]","[267.4825433051127, 260.559561930943]","[238.73071315573995, 252.48655021939632]",False,True
0.01,0.8900000000000006,5.394735336303711,"[267.5208524851462, 260.64043271608654]","[269.946468796737, 263.2461690034237]","[242.56163115908677, 260.57362873373535]",False,True
0.01,0.9000000000000006,5.455929279327393,"[269.89926445508945, 263.1694870860108]","[272.2776764250325, 265.6985414559347]","[237.84119699432668, 252.9054369924266]",False,True
0.01,0.9100000000000006,5.517341136932373,"[272.33679657972607, 265.7683046329426]","[274.7743287043633, 268.3671221798751]","[243.75321246365908, 259.8817546931805]",False,True
0.01,0.9200000000000006,5.578859090805054,"[274.71264278699334, 268.29255738470573]","[277.08848899426107, 270.8168101364693]","[237.58462072672643, 252.42527517631524]",False,True
0.01,0.9300000000000006,5.6413562297821045,"[277.16513306948724, 270.87929318039374]","[279.6176233519806, 273.466028976081]","[245.24902824939022, 258.6735795688012]",False,True
0.01,0.9400000000000006,5.703082084655762,"[279.54402448317893, 273.3911426406827]","[281.9229158968708, 275.90299210097174]","[237.88914136917083, 251.18494602889479]",False,True
0.01,0.9500000000000006,5.763928174972534,"[282.0129272226932, 275.9622411487035]","[284.4818299622077, 278.5333396567247]","[246.89027395142475, 257.10985080208667]",False,True
0.01,0.9600000000000006,5.824366092681885,"[284.3994841960102, 278.4558271447767]","[286.7860411693263, 280.9494131408487]","[238.6556973317025, 249.3585996073207]",False,True
0.01,0.9700000000000006,5.884906053543091,"[286.88461247827195, 281.0093956263367]","[289.3697407605351, 283.562964107898]","[248.51282822617756, 255.35684815599683]",False,True
0.01,0.9800000000000006,5.945430040359497,"[289.2822510793437, 283.48086144870854]","[291.67988968041664, 285.9523272710815]","[239.76386010717712, 247.1465822371853]",False,True
0.01,0.9900000000000007,6.006007194519043,"[291.7818290329681, 286.0166557234128]","[294.2814069865885, 288.55244999811225]","[249.9577953624398, 253.57942747042358]",False,True
0.01,1.0000000000000007,6.066848039627075,"[294.1926189052062, 288.464303069823]","[296.6034087774446, 290.91195041623354]","[241.07898722380588, 244.76473464102523]",False,True
0.01,1.0100000000000007,6.1279871463775635,"[296.7034290496192, 290.98365254245493]","[299.21423919403827, 293.50300201509344]","[251.0810144413054, 251.93494726319133]",False,True
0.01,1.0200000000000007,6.188488006591797,"[299.1280331143263, 293.40797645007973]","[301.55263717902994, 295.8323003577005]","[242.46040647070808, 242.43239076247787]",False,True
0.01,1.0300000000000007,6.249629974365234,"[301.6456448234063, 295.91365482522247]","[304.163256532479, 298.41933320035685]","[251.76117090800307, 250.56783751427292]",False,True
0.01,1.0400000000000007,6.31028413772583,"[304.08334734140345, 298.3172508510377]","[306.5210498594115, 300.72084687686504]","[243.77025179971295, 240.35960258152386]",False,True
0.01,1.0500000000000007,6.370169162750244,"[306.602410447512, 300.8132960828877]","[309.12147355363146, 303.30934131474964]","[251.90631061085364, 249.60452318499622]",False,True
0.01,1.0600000000000007,6.429788112640381,"[309.0512350396991, 303.20063927401725]","[311.50005963186874, 305.58798246512725]","[244.88245921871325, 238.73431911295643]",False,True
0.01,1.0700000000000007,6.489805221557617,"[311.5658217424956, 305.6921242031996]","[314.08040844527704, 308.1836091323651]","[251.45867027964587, 249.1484929182349]",False,True
0.01,1.0800000000000007,6.550374984741211,"[314.0227350496147, 308.06922839490835]","[316.47964835676896, 310.4463325866552]","[245.69133071191257, 237.71041917087047]",False,True
0.01,1.0900000000000007,6.610543251037598,"[316.5267129774886, 310.56198323886684]","[319.0306909054003, 313.05473808286666]","[250.3977927873914, 249.27548439584763]",False,True
0.01,1.1000000000000008,6.671946048736572,"[318.9879030580457, 312.93595917743073]","[321.44909313852247, 315.30993511590816]","[246.11900805570494, 237.3975938563867]",False,True
0.01,1.1100000000000008,6.733549118041992,"[321.4753220658813, 315.43624912595686]","[323.9627410736087, 317.93653907436556]","[248.7419007835634, 250.02899485261148]",False,True
0.01,1.1200000000000008,6.7945520877838135,"[323.93653398327723, 317.8147896826939]","[326.39774590085295, 320.1933302396203]","[246.12119173959326, 237.854055673706]",False,True
0.01,1.1300000000000008,6.854863166809082,"[326.4020088121117, 320.32895522587285]","[328.86748364123713, 322.84312076936044]","[246.54748288345027, 251.41655431789073]",False,True
0.01,1.1400000000000008,6.915393114089966,"[328.8589139819461, 322.71978415120043]","[331.31581915155084, 325.1106130762922]","[245.69051698343807, 239.08289253275666]",False,True
